,original,translation
739,Parcurile de distractie si cele tematice din Costa Calida,The amusement and thematic parks in Costa Calida
740,Masculii se asociază cu grupuri de familie dacă este prezentă o femelă estrală.,Males shall be associated with family groups if an oestrus female is present.
741,"Liniile lor erau prea întinse, echipajele obosite, stocurile de combustibil pe sfârșite, iar multe tancuri fuseseră distruse sau avariate.","Their lines were too large, tired crews, end-of-life stocks of fuel, and many tanks had been destroyed or damaged."
742,"Roma și Paris urmează după o scurtă perioadă de timp, fiind scrise rapid în cursul apariției lui Lourdes.",Rome and Paris follow a short period of time and are written quickly during the emergence of Lourdes.
743,Creșterea economică spectaculoasă a fost urmată însă de o criză care a exacerbat problemele sociale.,"However, spectacular growth has been followed by a crisis that has exacerbated social problems."
744,Circa douăsprezece filme de lung metraj se realizează anual.,Some twelve feature films are made annually.
745,"Toate statele independente au aderat, inclusiv URSS și Turcia.","All independent states have acceded, including the USSR and Turkey."
746,Populația civilă a suferit o ocupație japoneză brutală.,The civilian population has suffered a brutal Japanese occupation.
747,"În 1616, o lege dată de Consiliul de Coroană a poruncit ca fiecare parohie să înființeze o școală.","In 1616, a law by the Romanian Council worked for every parish to set up a school."
748,"Curentul a apărut în 1905, iar din 1910 se manifestă în literatură.",The current occurred in 1905 and has been occurring in literature since 1910.
749,"Italia, îngrijorata de ambițiile naziștilor, se îndreaptă către Franța și Marea Britanie.","Italy, worried about the Nazis' ambitions, is heading towards France and Britain."
750,"Industria cinematografică a Serbiei este puternic subvenționată de guvern, în principal prin granturi aprobate de Centrul de Film al Serbiei.","Serbia's film industry is heavily subsidised by the government, mainly through grants approved by Serbia's Film Centre."
751,"Planul original prevedea sprijinirea ofensivei terestre din Ardeni, care începea pe 16 decembrie 1944.","The original plan provided for support for the Ardeni land offensive, which started on 16 December 1944."
752,"Albii refuzau să facă orice concesie minorităților și luptau și cu armatele naționale, și cu soldații bolșevici.","Blue refused to make any concession to minorities and also fought with national armies, and with sick soldiers."
753,"Urât mirositoare, pline de noroi, hainele vameșilor erau peticite și decolorate.","Ororous, mud-filled, Western clothes were peticated and decoloured."
754,"Spre dimineață, Baiazid reușește să facă o breșă și să fugă, lăsînd pe cîmpul de luptă cea mai mare parte a oștirii.","To the morning, Baiazid is succeeding in making a breath and fleeing, leaving the battle on the battle for the bulk of the story."
755,Măsurile de protecție sunt utilizate pentru a evita efectele asupra sănătății.,The protective measures shall be used to avoid health effects.
756,"În 1270 a fost întemeiatǎ dinastia solominicǎ, ai cǎrei membri pretindeau deșcendența din regele Solomon și regina din Saba.","In 1270, it was the founding fathers in the Saba Queen, which were based on a lack of science and technology in the city of Solomon and the King in Saba."
757,O plângere frecventă în sânul triburilor era că cei care semnaseră tratatele nu erau reprezentanți ai întregului trib.,A frequent complaint against tribes was that those who signed the treaties were not representatives of the whole trib.
758,"Din 1689, a avut un sistem de conducere ecleziastică presbiterian, și se bucură de independență față de stat.","Since 1689, he has had a Olympic ecclesiastical leadership, and enjoys independence from the state."
759,"Desgrange a susținut că tirajul record al ziarului a fost cel din timpul Turului din 1933, când a vândut 854.000 de exemplare.","Desgrange claimed that the record print of the newspaper was that of the 1933 Turkish time, when he sold 854.000 specimens."
760,Niciun Parlament nu poate însă adopta legi pe care alte Parlamente viitoare să nu le poată modifica.,"No Parliament can, however, pass laws that other future parliaments cannot amend."
761,"Ca urmare, interesele politice primau în fața celor economice.","As a result, political interests are hasty over economic interests."
762,"Perșii recunos că un nou congres de pace, la Susa, apoi în 366 la Sparta, hegemonia tebana, căreia doar Atena și Sparta i se mai opun.","Those people recognised that further congress of peace in Susa, then in 366 in Sparta, the thebana hegemonia, which only Athens and Sparta were opposed to."
763,"Cei care au întocmit raportul, mergând prin sat, au găsit la unele femei întâlnite mai multe pietre prețioase.","Those who produced the report, going through the village, found some women encountered several precious stones."
764,"Potrivit documentelor vremii și tradiției orale, aceasta a fost cea mai grea perioadă din istoria orașului.","According to the documents of the oral weather and tradition, this was the hardest period in the city's history."
765,"În prima decadă a lunii martie solul se dezgheață pînă la 10 cm adincime, iar pe la 20 martie în întregime.","For the first decade of March, the soil is disappearing at 10 cm from the enclosure and completely on 20 March."
766,"După anul 275 d.H. cînd Imperiul Roman cedează Dacia Traiană, romanii păstrează sub controlul lor malul stâng al Dunării, implicit și Pelendava.","After 275 d.H., the Roman Empire cedes the Thrace, the Romans keep the left bank of the Danube under their control, by implication, and the Pelendava."
767,"În schimb, el a pus restricții similare asupra creștinismului, iar unele violențe neoficiale împotriva creștinilor au avut loc.","Instead, he has put similar restrictions on Christianity, and some informal violence against Christians has taken place."
768,Toate au fost de acord că înfrângerea Germaniei este obiectivul principal.,They all agreed that defeat Germany is the primary objective.
769,"Luptele au continuat 25 de zile, iar cei 160.000 de turci atacau cetatea apărată de numai câteva mii de creștini.","Fighting continued 25 days, and the 160.000 Turks attacked the variety defended by just a few thousand Christians."
770,Indivizii din speciile asiatice au fost deseori dresați ca animale de povară.,Individuals of the Asian species have often been collected as burden animals.
771,"Forțele Armate favorizează parteneriate cu instituții occidentale, cum ar fi NATO, WEU și UE, dar încearcă să evite implicarea în politica mondială.","The Armed Forces favour partnerships with Western institutions, such as NATO, WEU and the EU, but seek to avoid involvement in global politics."
772,"Pentru asigurarea nevoilor de pe front, timpul de instruire a fost redus.","In order to provide the front needs, training time has been reduced."
773,"Pentru alții, cum ar fi unii liberali, aceasta își are rădăcinile în ideile lui Karl Marx.","For others, such as some liberals, it is rooted in Karl Marx's ideas."
774,Circa 92% din locuitori au încredere în instituțiile finlandeze de menținere a ordinii.,Some 92% of the inhabitants trust Finnish institutions to maintain order.
775,"Aceste simboluri au fost larg utilizate la manifestații și au fost arborate pe clădirile publice, pe nave și bastimente etc.","These symbols have been widely used in demonstrations and have been displayed on public buildings, ships and baskets, etc."
776,Acel individ a putut chiar să dea dovadă de înaltă precizie atunci când a fost retestat cu aceleași perechi vizuale un an mai târziu.,That individual was even able to show high precision when retested with the same visual pairs one year later.
777,"Nordul Portugaliei este zona unde a apărut arta marțială numită , în care luptătorii folosesc bastoane pentru a lupta cu unul sau mai mulți adversari.","Northern Portugal is the area where martial art called, where fighters use batons to fight one or more adversaries."
778,"În timp ce corpul principal al trupelor otomane se pregătea pentru operațiunea din Persia, un mic grup rus a traversat frontiera persană.","While the main body of the Ottoman troops was preparing for the Persia operation, a small Russian group crossed the Persian border."
779,"Este de menționat că Mihail, voievodul coregent, avea o „casă” separată.","Billion, which was adopted by the BIP, decided by the BIP."
780,Tancurile franceze fuseseră concepute ca mașini de luptă destinate sprijinirii infanteriei.,French tanks were designed as fighting machines to support infantry.
781,"Corneliu Mircea este psihiatru și, de asemenea, filosof, încurajat de Noica, dar nu și unul dintre discipolii săi.","Corneliu Mircea is psychiatrist and also philosopher, encouraged by Noica, but not one of his discipoles."
782,"Dintre cele 400 de orașe mayașe identificate, cel mai bine conservat este Chichén Itzá.","Of the 400 cities or towns identified, the best preserved is Chichén Itzá."
783,Atât shi iții cât și sunniții au fost nevoiți să își legitimeze acțiunile împotriva rivalului religios.,Both shi and Sunni people have had to legitimise their actions against religious rival.
784,Fresce contemporane care îl înfățișează pe Mircea cel Bătrân,contemporary fresce showing Mircea the Elder
785,"Din fericire pentru britanici, japonezii au rămas fără provizii și au suferit pierderi mari.","Fortunately for the British, the Japanese were left without supplies and suffered great losses."
786,Eroii de pe Valea Prahovei din Primul Război Mondial,Prahova Valley errors in World War First World War
787,"Singura condiție impusă era ca domnul să aibă dreptul de a cumpăra primul, pentru nevoile curții.",The only condition imposed was for the Mr to have the right to buy the first for the court's needs.
788,miniatura Linia albastră ar putea fi un exemplu de a unei funcții liniare din cauza zgomotului aleatoriu.,The Blue Line Ministers could be an example of a linear function due to random noise.
789,Efectivul trupelor era format din peste 10000 de soldați ce erau dislocați pe o lungime desfășurată a frontului de circa 28 de kilometri.,The numbers of troops consisted of more than 10000 soldiers who were displaced over a wrap-up front length of around 28 kilometres.
790,"La fel și soția lui Feodor Dostoievski, Maria Dmitrievna, și Apollon Grigoriev, cel mai cunoscut colaborator al ziarului.","Similarly to Feodor Dostoievski's wife, Maria Dmitrievna, and Apollon Grigoriev, the newspaper's best-known collaborator."
791,"În anul 1909 a fost expusă la Ateneul Român din București, unde a fost interzisă din ordinul autorităților.","In 1909 he was exposed to Athens Român in Bucharest, where he was banned from orders from the authorities."
792,"Turismul contribuie cu circa 4% din PNB și este o sursă importantă de locuri de muncă, cu peste 200.000 de angajați.","Tourism contributes around 4% of GNP and is an important source of employment, with more than 200.000 employees."
793,"După domnia lui Vlad Țepeș și a lui Radu cel Mare, au urmat o serie de domnitori nesemnificativi, urmând o perioada tulbure.","After Vlad Ţepeș and Radu Mare, a series of insignificant majors followed, following a troubled period."
794,Calitatea scăzută a pregătirii soldaților nu a fost contrabalansată de existența unui corp numeros ofițeri și subofițeri profesioniști.,The low quality of training for the soldiers has not been counterbalanced by the existence of a large body of professional officers and non-officers.
795,"Ea a fost revizuită de atunci de trei ori, în 1986, 2001 și2008.","It has since been reviewed three times in 1986, 2001 and 2008."
796,"Conform datelor Recensământului Național din 2002, în Polonia trăiesc 36.658.166 de polonezi.","According to 2002 National Recession Data, 36.658.166 Poles live in Poland."
797,"Până nu de mult mortul era bocit de către femei, rudele cele mai apropiate, începând cu prima dimineață după deces, la răsăritul soarelui.","Until long, sport was steered by women, the closest relatives, starting from the first morning after their death, in the sun lighthouse."
798,Uniunea cu Lituania a adus cu sine o creștere a populației și a teritoriului.,The Union with Lithuania has brought with it an increase in population and territory.
799,Mai rămăsese o bază substanțială pentru opoziția împotriva regimului lui Hitler.,There was still a substantial basis for the opposition against Hitler's regime.
800,Aceste victorii au fost obținute în special de artileria AA de pe navele britanice care asigurau protecția estuarului Scheldt.,These victories were obtained in particular by the AA artillery on British ships providing protection for the Scheldt estuary.
801,"Micul erou, povestire concepută chiar în timpul încarcerării în Fortăreața Petru și Pavel, este publicată în august 1857 în Note patriotice.","The small hero, the story conceived even during imprisonment in Fortame and Pavel, is published in August 1857 in Patriotic Notes."
802,"După intervenția tancurilor sovietice din 1968, cărțile kafkiene sunt din nou interzise în Cehoslovacia.","After the intervention of Soviet tanks in 1968, Kafkiene books are again banned in Czechoslovakia."
803,"În secolul V, Imperiul Roman de Apus a încetat se existe, cea ce a condus la o migrație a creștinilor în Palestina și dizolvarea majorității creștine.","In the V century, the Roman de Apus Empire ceased to exist, which led to migration of Christians to Palestine and the dissolution of the Christian majority."
804,"Principalii reprezentanți ai iluminismului au fost Gheorghe Asachi, Ion Budai Deleanu și Dinicu Golescu.","The main representatives of illumination were Gheorghe Asachi, Ion Budai Deleanu and Dinicu Golescu."
805,Pe lângă pictură întâlnim și mozaicul fiind preferat pentru strălucirea culorilor.,In addition to the picture we meet and the mosaic is preferred to the brightening of the colours.
806,"După revoluția din 1989, filosofia din România a început să se sincronizeze repede cu cea occidentală contemporană.","After the 1989 revolution, philosophy in Romania started to synchronise rapidly with contemporary Western."
807,Ducele Wilhelm Cuceritorul a fost încoronat ca rege al Angliei în ziua de crǎciun.,"For example, a series of hours of work consists of two hours of hours of work."
808,"Este însoțit de un cortegiu de personaje sinistre care planifică să destabilizeze imperiul pentru a instaura un nou regim, de tip socialist.",He is accompanied by a cortegium of sinister figures planning to destabilise the empire in order to establish a new regime of a socialist type.
809,"După numeroase tergiversări, Édouard Lockroy îi acordă această decorație.","After a great deal of drama, Édouard Lockroy is granting him this decoration."
810,"Abia mai târziu, la insistențele unchiului Karl, îl angajează ca avocat pe domnul Huld, un fanfaron de o inutilitate evidentă.","Only later, at the insistence of Karl, commits him as a lawyer for Mr Huld, an obvious fantasy."
811,"De la sfârșitul anilor 1990, rata netă migrației a devenit pozitivă, atingând un nivel de peste 7.000 de imigranți în 2006.","Since the end of the 1990s, the net migration rate has become positive, reaching a level of over 7 000 immigrants in 2006."
812,miniaturaOrice formă de reducere de preț este un discount,Ministers aturaAny form of price reduction is a discount
813,thumbleftTezaurul din [[Ierusalim în procesiunea triumfală a luiTitus la Roma.,Thumbleftezgold from [Jerusalem in the triumphal process of luiTitus in Rome.
814,Centrul geografic al Scoției se află la câțiva kilometri de satul din .,The geographical centre of Scotland is a few kilometres away from the village.
815,"Internatul Psihoneurologic activează din 1980, având o capacitate de 550 locuri.","The PsihonEurological Internet has been active since 1980, with 550 seats in capacity."
816,Ceramica lustruită este folosită și la decorarea florală a registrului superior.,polished ceramics are also used for the floral decoration of the upper register.
817,"25px La Wikisursă există documente originale referitoare la Comuna Racovița, Memorii din primul război mondial.","25px La Wikisurca there are original documents on the City of Racovița, Memories from the First World War."
818,Efectivele canadiene din Normandia au crescut de la o divizie în iunie 1944 la un corp de armată în august același an.,Canadian numbers in Normandy increased from a division in June 1944 to an army body in August that year.
819,"Totuși, înainte de a se putea îmbarca, Qi'ra este reținută de către urmăritorii.","In this regard, the Commission notes that according to the case-law of the Court of Justice of the European Union, there is no legal obligation on Member States to take steps to ensure that:"
820,"Pentru consumatori, acestea sunt achiziții de zi cu zi , iar pentru comercianții cu amănuntul, tipuri de produse de mare rulaj.",They are everyday purchases for consumers and for retailers high-end product types.
821,"Ca o curiozitate, un M1 Abrams consumă aproximativ 40 de litri doar în procesul de pornire.","As a curiosity, an M1 Abrams consumes approximately 40 litres solely in the start-up process."
822,Hannibal constietiza că forțele sale nu erau capabile să conducă un asediu asupra Romei și dorea doar să o izoleze de bazele ei italice.,The Hannibal testifies that his forces were unable to lead a siege on the Roma and merely wanted to isolate it from its italic bases.
823,Serbia a fost țara care a suferit cele mai multe pierderi și distrugeri în timpul luptelor din Balcani.,Serbia was the country which suffered most losses and destruction during the fighting in the Balkans.
824,"A fost cel mai întins război din istorie, și a implicat direct mai mult de 100 de milioane de oameni din peste 30 de țări.","It was the largest war in history, and directly involved more than 100 million people in more than 30 countries."
825,"Monument istoric și de arhitectură ridicat în anul 1790, pe locul unde mai fusese o biserică.",Historical and architectural monument high in the year 1790 where there was still a church.
826,Ministerul de război otoman a elaborat două planuri majore.,The Ottoman Ministry of War drew up two major plans.
827,"Monumentul a fost așezat în centrul localității, pe un teren donat de Antal Nagy.",The Monum has been placed in the centre of quality on a field donated by Antal Nagy.
828,"agricole enorme ale proprietarilor locali, au permis buna dezvoltare",enormous agriculture by local owners has allowed good development
829,"Istoricul nu trebuia să fie condiționat social, ceea ce îi permite să fie imparțial în interpretarea evenimentelor.","History did not need to be socially conditioned, which allows it to be impartial in interpreting events."
830,"Trecerea de la epoca romanǎ la cea bizantinǎ a fost linǎ, continuitatea fiind vizibilǎ.",The transition from the era of Roma to that of bizantinbrus is being seen as being visible.
831,El era urmat de căpitanul Alfons Orthofer care comanda II./StG 77 pentru atacul împotriva aeroportului Ford.,"It was followed by Captain Alfons Orthofer, who ordered II. / StG 77 for the attack against Ford Airport."
832,Italia a primit dreptul să ocupe teritoriul pe care îl cucerească în timpul scurtei sale intervenții militare.,Italy has been granted the right to occupy the territory that it is confining during its short-term military intervention.
833,thumbrightSala plenului din Clădirea Parlamentului Scoțian,ghtghtSala plenary of the House of the Scottish Parliament
834,"Un parvenit josnic, Lujin este disprețuit de Raskolnikov încă de la prima lor întrevedere.","A josnic parincome, Lujin, is contempt by Raskolnikov since their inception."
835,"8.000 de demonstranți, membri ai Gărzii naționale, au năvălit la Tuileries.","8.000 demonstrators, members of the National Guard, died at Tuileries."
836,"În podurile șurii și deasupra grajdurilor se introducea fânul, nutrețul animalelor în timpul iernii.","On hives and above stables, hay was introduced, animal fodder during winter."
837,Ulterior a avut simptome paranoice și avea impresia că este urmărit de unde sonore sau de voci.,Then it had paranoid symptoms and had the impression that it was followed by sound waves or voices.
838,thumbrightuprightDansatori [[cretani de muzică tradițională.,Number of employees employed in the production of the like product in the Union.
839,"Pictorii cubiști au fost implicați în realizarea camuflajului, cubismul fiind o rupere a conturului.","Cuban legs were involved in the deformation of the camouflage, the cup being a break in the contour."
840,Un rol deosebit în pregătirea cadrelor calificate pentru satisfacerea pieței de muncă regionale îi revine învățământului secundar profesional.,A particular role in preparing qualified frameworks for regional labour market satisfaction is to play in vocational secondary education.
841,A devenit administratorul moșiilor lui Glogoveanu și cunoscut în Craiova prin comerțul cu vite.,He became the manager of Glogoveanu's midwives and known in Craiova through trade in cattle.
842,"Scrisul Românesc 1978 N.Iorga, Orașele oltene și mai ales Craiova în pragul vremurile noua, ed.","The Romanian letter 1978 N.Jordan, the Olympic cities and especially Craiova on the eve of the new times, ed."
843,"alt=Bărbat bătrân și ridat, cu ochelarithumbrightuprightCopie fotografică a unui [[Daghereotipiedaghereotip din 1845","Joule-Thomson, Joule-Thomson, Jomson-Thomson, Jomson-Thomson"
844,Aceste aptitudini au făcut posibilă construirea Fabricii de lapte praf la Remetea.,These skills made it possible to build the milk factory powder in Remetea.
845,Prefața este semnată de cunoscutul critic literar Petru Poantă.,The press is signed by the notorious literary critical Peer.
846,Baza navală americană de la Guantanamo Bay a fost folosită la apărarea transporturilor maritime aliate în regiunea caraibeană.,The US naval base at Guantánamo Bay was used to defend allied maritime transport in the Caraian region.
847,"Datorită numărului mic de participanți, circa șase familii, manifestarea are un caracter mai intim și se va organiza pe cătune.","Thanks to the small number of participants, around six families are younger and will be organised in the handcuffs."
848,"În prefața lucrării, Ibn Khaldun scria de cele șapte greșeli comise de istorici anteriori.","On the face of the work, Ibn Khaldun wrote of seven mistakes made by previous historians."
849,Atracțiile turistice ale Finlandei au adus peste 4 milioane de turiști în 2005.,Finland's tourist tractors brought more than 4 million tourists in 2005.
850,"Franceza și rusa sunt vorbite de 4% fiecare, iar 2% din croați vorbesc spaniola.","The French and Russian are speaking at 4% each, and 2% of Croats speak Spanish."
851,Achitarea lui Esterházy a adus deci o schimbare a strategiei dreyfusarzilor.,The settlement of Esterházy has therefore brought about a change in the strategy of dreyfusards.
852,"stangaminiaturaPolițiști germani împușcând femei și copii din ,","the German stangaminiaturaist policies shoot women and children of,"
853,"În 2011 numărul grădinițelor era de 1400, cu 19% mai mult decât în [[2000]], frecventate de 135427 copii.","In 2011 the number of kindergartens was 1400, 19% more than in [2000], attended by 135427 children."
854,Acțiunile acestea sunt de obicei doar pentru intimidare.,Their actions are usually only for intimidation.
855,"Populația a crescut semnificativ, dar mulți tineri emigrau.","People have increased significantly, but many young people have emigrated."
856,"În special iarna, atmosfera din cameră avea un ,,complex” de mirosuri combinate de la foc, mâncare, lampă, etc.","In particular winter, the atmosphere in the chamber has a, complex odours combined from the fire, handles, lamp, etc."
857,Alpii dinarici și alte lanțuri montane contribuie la răcirea majorității maselor de aer cald.,Dinaric alarms and other mountain chains contribute to cooling most of the hot air masses.
858,"În această situație, germanii nu mai aveau decât o cale îngustă în zona St. Vith pentru aprovizionarea trupelor terestre în ofensivă.","In this situation, the Germans had only one narrow way in the St Vith area for supplying ground troops with an offensive."
859,"minus L. are o răspândire largă și prezintă importanță în fitofarmacie, având efect purgativ.",minus L. is widely spread and is of importance in phytogeny with purgative effect.
860,"Nicolae, dărâmată de Sovietici în 1965 și reclădită după independență.","Nicolae, brought down by the Soviet in 1965 and rebuilt after independence."
861,Eficacitatea și pertinența criticlor sale în L'Événement sunt recunoscute.,The effectiveness and relevance of its criticite in the L'Événement are recognised.
862,În 1750 românii catolici au primit o parcelă de la oraș în urma intervenției călugărului iezuit József Balogh.,In 1750 Catholic Romanians received a plot from the city following rabbit monk intervention József Balogh.
863,"Salariile reprezentau o mică parte a valorii, o mare parte fiind însușită de patron, mecanismul prin care patronul fură munca proletariatului.","Wages represented a small part of the value, a large part of which was appropriated by the patron, the mechanism by which the employers steer the pro-letarian work."
864,"simțirii, tot cel ce primește litera în chip iudaic numai ca","feeling, receiving the letter in face of iudaic only as"
865,"Burr a fost în curând capturat, și oamenii au fost trimiși acasă.","Burr was soon captured, and people were sent home."
866,"Cursele de motociclete pe șosea au și ele o lungă tradiție, de exemplu cu și .","Motorcycle sources on the road also have a long tradition, for example, with and."
867,În iernile cu puțină zăpadă revărsările de primăvară sunt neînsemnate sau lipsesc.,Winters with a little snow spill are small or missing.
868,"Ca o consecință, au apărut și organizații de apărare a drepturilor consumatorilor.","As a consequence, consumer rights organisations have also appeared."
869,"Dar nu au venit ca „stăpâni de rumâni”, ci ca dijmași la moșnenii și","This is because, as a result of this, we have failed to adopt a large number of common criteria."
870,Drumurile romane erau căi de comunicație ale rețelei rutiere create de romani.,The Roman roads were ways of communicating with the road network created by Romanians.
871,"Opera lui Beda este compusă din lucrări cu caracter teologic, științific, literar, muzical etc.","Beda's operation consists of works of a theological, scientific, literary, music, etc."
872,Printre numeroasele sale procese logice se numără raționamentul inductiv și deductiv.,Its numerous logical processes include inductive and deductive reasoning.
873,Un alt important centru de cercetări este Institutul Paul Scherrer.,Another important research centre is Paul Scherrer's Institute.
874,"După ce îl elimină pe Licinius, Constantin se proclamǎ unicul împǎrat al unui imperiu unitar pentru ultima datǎ.","Once it abolishes the Licinius, the Constantin is proclaimed the only atmosphere in the world that is pushed for a latest-time unitary empire."
875,"De îndată ce chiar un singur element ar pune ordinea generală la îndoială, întreaga ordine este periclitată.","As soon as even one element cast doubt on the general order, the whole order is put at risk."
876,restaurări nu se va mai afla în făpturi nici o rațiune știrbită și,"the restoration will no longer be in the flood, and"
877,"Biserică universală, sau în sufletul fiecărui sfânt, lumina","Universal Church, or the soul of each holy, light"
878,Grupul aerian JG 1 a pierdut în total 25 de piloți și 29 de avioane.,The Air Group JG 1 lost a total of 25 pilots and 29 aeroplanes.
879,2 blocuri din cartierul Țiglina 4 sunt practic lipite și în ziua de azi.,Two blocks in the neighbourhood of Tiger 4 are practically glued today as well.
880,Aceste tipuri de scuturi aveau reputația de a putea opri gloanțele de muschete.,These kinds of shields were reputable to stop Muslim bullets.
881,"Nu este preocupat de cauzele egalității, ci de consecințele acesteia.","He is not concerned about the causes of equality, but about its consequences."
882,"În oraș, erau multe ateliere de meșteșugari care erau adunați în bresle.","In the city, there were many craftspeople who were gathered in the baths."
883,Cornwallis se afla înconjurat pe uscat de forțe armate net superioare și retragerea pe mare era îndoielnică din cauza flotei franceze.,Cornwallis was surrounded by shore by higher armed forces and the sea withdrawal was doubtful due to the French fleet.
884,"10 septembrie 1848 Arderea ""Regulamentului Organic"" în fața mulțimilor adunate în ""Tîrgul de afară"".","10 September 1848 Art of ""Organic Regulation"" before the mulch gathered in the ""Outside îrgul."""
885,"Noul regim, denumit Republica Helvetică, a fost deosebit de nepopular.","The new regime, called the Helvetic Republic, was particularly unpopular."
886,Varietatea de servicii de asistență oferite este cunoscută drept tip de serviciu.,The variety of support services offered is known as the type of service.
887,"În momentul declanșării invaziei germane pe 10 mai, cea mai mare problemă a armatei olandeze era lipsa acută vehiculelor blindate.","When the German invasion started on 10 May, the biggest problem for the Dutch army was the acute lack of armoured vehicles."
888,Forțele Uniunii Sovietice au ocupat înainte fluviul și au dat polonezilor care au organizat revolta eticheta de „criminali” în radioemisiuni.,The Soviet Union's forces dealt with the river beforehand and gave Poles who organised the uprising of the chilling of criminals on radio issues.
889,Rusia este unul din cei cinci membri permanenți ai Consiliului de Securitate al ONU.,Russia is one of five permanent members of the UN Security Council.
890,Agora sau piața publică este cel mai vechi complex civic din antichitate.,Agora or the public market is the oldest civic complex made of antiques.
891,Despre sistemul nomenclaturii romane știm faptul că acesta era destul de divergent față de astăzi.,"On the Roman nomenclature system, we know that it was quite divergent towards today."
892,"Numeroși în toate partidele și mișcările revoluționare, evreii au fost abuziv asimilați bolșevicilor de către contrarevoluție.","Numerous parties and revolutionary movements, Jews have been abusively assimilated to sufferers by counter-terrorism."
893,"lățimea de 10 m, majorată până la 15 m în dreptul absidelor laterale.","a width of 10 m, increased to 15 m in the case of sideways."
894,Luptele aeriene au produs pierderi grele avioanelor de bombardament în picaj Ju 87.,Air fighting caused heavy losses to aircraft drowning bombardment Ju 87.
895,"Tot ziarul Alegătorul liber, în articolul intitulat Evasiunea n.r.","Also the free voter newspaper, in the article entitled Evasisis n.a."
896,În 1961 a fost judecat și după câteva luni a fost găsit vinovat și condamnat la moarte.,In 1961 he was tried and a few months later he was found guilty and sentenced to death.
897,Mulți cnezi și voievoizi au urcat la rangul nobiliar.,Many believers and voivoids hurt the Chernobyl ranking.
898,"Capitala și cel mai mare oraș este Bratislava, iar al doilea cel mai mare oraș este Košice.","The capital and the largest city are Bratislava, and the second largest city is Košice."
899,În Casa Rustică sunt amenajate două încăperi cu obiecte ale culturii materiale populare.,Two rooms with objects of popular material culture are developed in the Rustic House.
900,Generalul francez Philippe Pétain considera Ardenii „impenetrabili” dacă erau luate „măsuri speciale”.,"This is because, on the basis of the criteria laid down in paragraph 6, two or more criteria are met."
901,A fost declarat iresponsabil și a fost convocat un consiliu de regență.,He was declared irresponsible and a board of directors was convened.
902,"Dublin are o rețea de transport public ce cuprinde DART, Luas, și .","Dublin has a public transport network comprising DART, Luas, and"
903,"Extrema dreaptă contestă valoarea acestei mărturii, dar majoritatea istoricilor o rețin ca sursă validă, în ciuda unor ambiguități și inexactități.","The extreme right disputes the value of this commodity, but most historians retain it as a valid source, despite ambiguities and inaccuracies."
904,"În 101, a traversat personal Dunărea și a învins armatele dacice conduse de regele Decebalus la Tapae.","In 101, he personally went through the Danube and defeated the classroom armies led by the King Decebalus in Tapae."
905,Jocurile de oferă noi provocări pentru IA în domeniul teoriei jocurilor.,Games provide new challenges for IA in the area of gambling theory.
906,Germanii au pierdut șansa distrugerii flotei de bombardiere britanice.,The Germans have lost the chance of destroying the fleet of British bombardment.
907,Nu toate lucrările lui Kafka sunt relatate însă la persoana a treia.,Not all the work of Kafka is reported to the third person.
908,Nu a menționat absolut nimic privind despăgubirile de război și privind responsabilitatea începerii războiului.,He said absolutely nothing about war compensation and about the responsibility for starting the war.
909,"Satul Livadia nu mai are un învățător stabil, permanent.","The Livadia village no longer has a permanent, stable learning."
910,"Volscii, ernicii și equii au aderat la tratatul lui Spurius Cassius.","Volunteers, Eritreans and equii acceded to Spurius Cassius's treaty."
911,Istoria evreilor Istoria Palestinei Conferința de Pace de la Paris din 1919 Israel,History of the Jews of Palestine Peace Conference in 1919 Israel
912,Meciul fără reguli poate fi disputat între doi sau mai mulți wrestleri.,The machine without rules can be disputed between two or more wrestars.
913,"Costa Blanca este foarte bine cunoscuta pentru climatul ei bland si se bucura de mult soare, acesta fiind intens aici timp de 320 de zile pe an.","Costa Blanca is well-known for her bland climate and enjoyed a great deal of sun, which is intense here for 320 days a year."
914,Mandatul de guvernator al lui Cezar a fost extins pentru încă cinci ani.,Cezar's term of office as Governor has been extended for another five years.
915,"Unii dintre muzicienii clasici cei mai cunoscuți pe plan mondial sunt , , , și .","Some of the world's best known traditional musicians are, and are."
916,"În 1790, populația Franței număra 27,9 milioane de locuitori.","In 1790 the population of France counted 27,9 million inhabitants."
917,"West City Radio emite din anul 1995, când a primit prima licență de radiodifuziune din vestul țării.",West City Radio has issued its first broadcasting licence to the west of the country since 1995.
918,"Jackson a susținut revizuirea ratelor taxelor vamale, refizuire denumită .","Jackson supported the review of the duty rates, referred to as refraining."
919,"Datorită varietății peisajelor culturale și naturale din Slovenia, există peste 40 de bucătării regionale distincte.","Due to the variety of cultural and natural landscapes in Slovenia, there are more than 40 separate regional kitchens."
920,mai este cunoscută și sub denumirea de Casa Dobribán.,is still known as Casa Dobribán.
921,Rezultatul a fost pierderea restului teritoriilor portugheze de pe subcontinentul indian.,The result was the loss of the remaining Portuguese territories on the Indian subcontinent.
922,"Pe termen lung, tendința de creștere demografică era evidentă, dar era întreruptă de foamete, războaie și epidemii.","In the long term, the demographic growth trend was evident, but it was interrupted by hunger, wars and epidemics."
923,"Prin Edictul de la Potsdam din 1685, Frederic William a oferit azil hughenoților francezi.",Through the Potsdam Edict of 1685 Frederic William gave asylum to French hughenos.
